balance_mode,action_name,robot_name,environment,raw_count,balanced_count,dropped_count
action-environment,cut,armar7,apartment,91,81,10
action-environment,cut,armar7,isr,132,127,5
action-environment,cut,armar7,kitchen,120,101,19
action-environment,cut,hsrb,apartment,81,81,0
action-environment,cut,hsrb,isr,128,127,1
action-environment,cut,hsrb,kitchen,132,101,31
action-environment,cut,pr2,apartment,81,81,0
action-environment,cut,pr2,isr,142,127,15
action-environment,cut,pr2,kitchen,129,101,28
action-environment,cut,rollin_justin,apartment,95,81,14
action-environment,cut,rollin_justin,isr,130,127,3
action-environment,cut,rollin_justin,kitchen,118,101,17
action-environment,cut,stretch,apartment,85,81,4
action-environment,cut,stretch,isr,127,127,0
action-environment,cut,stretch,kitchen,116,101,15
action-environment,cut,tiago,apartment,91,81,10
action-environment,cut,tiago,isr,138,127,11
action-environment,cut,tiago,kitchen,120,101,19
action-environment,cut,unitree_g1,apartment,84,81,3
action-environment,cut,unitree_g1,isr,130,127,3
action-environment,cut,unitree_g1,kitchen,101,101,0
action-environment,mix,armar7,apartment,174,138,36
action-environment,mix,armar7,isr,109,100,9
action-environment,mix,armar7,kitchen,79,79,0
action-environment,mix,hsrb,apartment,146,138,8
action-environment,mix,hsrb,isr,103,100,3
action-environment,mix,hsrb,kitchen,112,79,33
action-environment,mix,pr2,apartment,155,138,17
action-environment,mix,pr2,isr,106,100,6
action-environment,mix,pr2,kitchen,88,79,9
action-environment,mix,rollin_justin,apartment,191,138,53
action-environment,mix,rollin_justin,isr,127,100,27
action-environment,mix,rollin_justin,kitchen,116,79,37
action-environment,mix,stretch,apartment,147,138,9
action-environment,mix,stretch,isr,100,100,0
action-environment,mix,stretch,kitchen,109,79,30
action-environment,mix,tiago,apartment,175,138,37
action-environment,mix,tiago,isr,109,100,9
action-environment,mix,tiago,kitchen,100,79,21
action-environment,mix,unitree_g1,apartment,138,138,0
action-environment,mix,unitree_g1,isr,111,100,11
action-environment,mix,unitree_g1,kitchen,84,79,5
action-environment,wipe,armar7,apartment,78,33,45
action-environment,wipe,armar7,isr,120,60,60
action-environment,wipe,armar7,kitchen,100,100,0
action-environment,wipe,garmi,isr,60,60,0
action-environment,wipe,hsrb,apartment,84,33,51
action-environment,wipe,hsrb,isr,120,60,60
action-environment,wipe,hsrb,kitchen,100,100,0
action-environment,wipe,pr2,apartment,93,33,60
action-environment,wipe,pr2,isr,120,60,60
action-environment,wipe,pr2,kitchen,128,100,28
action-environment,wipe,rollin_justin,apartment,80,33,47
action-environment,wipe,rollin_justin,isr,125,60,65
action-environment,wipe,rollin_justin,kitchen,116,100,16
action-environment,wipe,stretch,apartment,80,33,47
action-environment,wipe,stretch,isr,120,60,60
action-environment,wipe,stretch,kitchen,100,100,0
action-environment,wipe,tiago,apartment,120,33,87
action-environment,wipe,tiago,isr,160,60,100
action-environment,wipe,tiago,kitchen,130,100,30
action-environment,wipe,unitree_g1,apartment,33,33,0
action-environment,wipe,unitree_g1,isr,120,60,60
action-environment,wipe,unitree_g1,kitchen,100,100,0
