action_name,normalized_world_name,bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,execution_time_s,failure_count,failure_reasons,bowl_name,knowledge_motion,knowledge_mixing_tool,target_name,spawn_pose_xyz
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0024,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,0.616165,2.286808,1.241375,apartment/cabinet3_door_top_left,,,,,,,,0.616165,2.286808,1.241375,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,107.727,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 925 ticks in WipingAction (status=wiggle, max link displacement 0.01589m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01635m over 25 ticks).",,,,wipe_target_0024,"[0.6162, 2.2868, 1.2414]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0034,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,0.618863,1.63281,0.367436,apartment/cabinet1_drawer_bottom,,,,,,,,0.618863,1.63281,0.367436,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,75.8104,0,,,,,wipe_target_0034,"[0.6189, 1.6328, 0.3674]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0035,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,-0.021112,1.935307,0.52918,apartment/cabinet2,,,,,,,,-0.021112,1.935307,0.52918,0.0,-0.707107,0.0,0.707107,,,,,,,,,,,,,,,,,wipe,,,3,77.3582,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00844m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00668m over 25 ticks).",,,,wipe_target_0035,"[-0.0211, 1.9353, 0.5292]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0036,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,0.618954,1.961226,1.563363,apartment/cabinet2_door_left,,,,,,,,0.618954,1.961226,1.563363,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,75.833,0,,,,,wipe_target_0036,"[0.619, 1.9612, 1.5634]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0038,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,0.578824,2.029309,0.868946,apartment/cabinet2_drawer_big,,,,,,,,0.578824,2.029309,0.868946,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,78.0953,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00533m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01952m over 25 ticks).",,,,wipe_target_0038,"[0.5788, 2.0293, 0.8689]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0041,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-0.020949,2.475905,0.454272,apartment/cabinet3,,,,,,,,-0.020949,2.475905,0.454272,0.0,-0.707107,0.0,0.707107,,,,,,,,,,,,,,,,,wipe,,,3,76.4568,0,,,,,wipe_target_0041,"[-0.0209, 2.4759, 0.4543]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0042,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-0.019228,3.467657,1.794942,apartment/cabinet4,,,,,,,,-0.019228,3.467657,1.794942,0.0,-0.707107,0.0,0.707107,,,,,,,,,,,,,,,,,wipe,,,3,41.856,0,,,,,wipe_target_0042,"[-0.0192, 3.4677, 1.7949]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0045,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,0.414804,2.995321,1.677111,apartment/cabinet4_door_bottom,,,,,,,,0.414804,2.995321,1.677111,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,81.745,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 550 ticks in WipingAction (status=wiggle, max link displacement 0.00834m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00535m over 25 ticks).",,,,wipe_target_0045,"[0.4148, 2.9953, 1.6771]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0046,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,-0.019736,3.021253,0.488883,apartment/cabinet5,,,,,,,,-0.019736,3.021253,0.488883,0.0,-0.707107,0.0,0.707107,,,,,,,,,,,,,,,,,wipe,,,3,79.415,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.02198m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01059m over 25 ticks).",,,,wipe_target_0046,"[-0.0197, 3.0213, 0.4889]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0047,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,0.618191,2.995924,0.788471,apartment/cabinet5_drawer_top,,,,,,,,0.618191,2.995924,0.788471,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,52.443,0,,,,,wipe_target_0047,"[0.6182, 2.9959, 0.7885]"
