action_name,normalized_world_name,bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,execution_time_s,failure_count,failure_reasons,bowl_name,knowledge_motion,knowledge_mixing_tool,target_name,spawn_pose_xyz
cut,apartment,bread_0001,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0001,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,2.704005,2.571725,0.966814,map,0.0,0.0,0.0,0.0,,,,2.704005,2.571725,0.966814,0.0,0.0,0.918744,0.394853,0.0,-0.0,2.329777,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,-0.688182,0.725538,0.0,2.329777,saw,0.03,4,13,34.7589,0,,,,,,
cut,apartment,bread_0004,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0004,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,2.579638,3.363406,0.966814,map,0.0,0.0,0.0,0.0,,,,2.579638,3.363406,0.966814,0.0,0.0,0.994714,-0.102688,0.0,-0.0,-2.935854,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,-0.97891,-0.20429,0.0,-2.935854,saw,0.03,4,13,66.2527,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=wiggle, max link displacement 0.00322m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=wiggle, max link displacement 0.00293m over 25 ticks).",,,,,
cut,apartment,bread_0005,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0005,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.179349,-0.068857,-0.040973,0.187667,0.067081,0.05007,0.367016,0.135937,0.091044,0.00454229,2.701813,3.934221,0.966814,map,0.0,0.0,0.0,0.0,,,,2.701813,3.934221,0.966814,0.0,0.0,-0.556993,0.830517,0.0,-0.0,-1.181522,-0.154349,-0.000888,-0.036421,0.068117,0.5,0.05,1.0,0.0,0.0,0.379517,-0.925185,0.0,-1.181522,saw,0.03,4,13,35.3896,0,,,,,,
cut,apartment,bread_0006,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0006,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.856811,3.095831,0.966814,map,0.0,0.0,0.0,0.0,,,,2.856811,3.095831,0.966814,0.0,0.0,-0.861785,0.507274,0.0,-0.0,-2.077556,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.485347,-0.874322,0.0,-2.077556,saw,0.03,4,13,87.0649,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 800 ticks in CuttingAction (status=wiggle, max link displacement 0.01000m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=wiggle, max link displacement 0.00595m over 25 ticks).",,,,,
cut,apartment,bread_0007,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0007,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.179349,-0.068857,-0.040973,0.187667,0.067081,0.05007,0.367016,0.135937,0.091044,0.00454229,2.895211,1.636342,0.966814,map,0.0,0.0,0.0,0.0,,,,2.895211,1.636342,0.966814,0.0,0.0,0.479011,0.877809,0.0,-0.0,0.999055,-0.154349,-0.000888,-0.036421,0.068117,0.5,0.05,1.0,0.0,0.0,0.541097,0.84096,0.0,0.999055,saw,0.03,4,13,55.5872,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00309m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00317m over 25 ticks).",,,,,
cut,apartment,bread_0008,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0008,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.960056,3.599797,0.966814,map,0.0,0.0,0.0,0.0,,,,2.960056,3.599797,0.966814,0.0,0.0,0.666835,0.745205,0.0,-0.0,1.459908,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.110662,0.993858,0.0,1.459908,saw,0.03,4,13,62.0269,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in CuttingAction (status=wiggle, max link displacement 0.00296m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=wiggle, max link displacement 0.00454m over 25 ticks).",,,,,
cut,apartment,bread_0009,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0009,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.533125,2.984642,0.966814,map,0.0,0.0,0.0,0.0,,,,2.533125,2.984642,0.966814,0.0,0.0,0.198192,0.980163,0.0,-0.0,0.399026,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.92144,0.388521,0.0,0.399026,saw,0.03,4,13,54.593,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=wiggle, max link displacement 0.00344m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00268m over 25 ticks).",,,,,
cut,apartment,bread_0010,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0010,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.517499,1.702301,0.966814,map,0.0,0.0,0.0,0.0,,,,2.517499,1.702301,0.966814,0.0,0.0,-0.125995,0.992031,0.0,-0.0,-0.252661,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.968251,-0.249982,0.0,-0.252661,saw,0.03,4,13,47.2571,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=wiggle, max link displacement 0.00389m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=wiggle, max link displacement 0.00464m over 25 ticks).",,,,,
cut,apartment,bread_0011,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0011,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.499565,2.208551,0.966814,map,0.0,0.0,0.0,0.0,,,,2.499565,2.208551,0.966814,0.0,0.0,0.376814,0.926289,0.0,-0.0,0.772709,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.716022,0.698078,0.0,0.772709,saw,0.03,4,13,58.6974,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=wiggle, max link displacement 0.00763m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=wiggle, max link displacement 0.00345m over 25 ticks).",,,,,
cut,apartment,bread_0012,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0012,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,0.289971,3.105553,0.9405,map,0.0,0.0,0.0,0.0,,,,0.289971,3.105553,0.9405,0.0,0.0,-0.101799,0.994805,0.0,-0.0,-0.203951,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,0.979274,-0.20254,0.0,-0.203951,saw,0.03,4,13,39.757,0,,,,,,
