balance_mode,action_name,robot_name,environment,raw_count,balanced_count,dropped_count
global,cut,armar7,apartment,91,33,58
global,cut,armar7,isr,132,33,99
global,cut,armar7,kitchen,120,33,87
global,cut,hsrb,apartment,81,33,48
global,cut,hsrb,isr,128,33,95
global,cut,hsrb,kitchen,132,33,99
global,cut,pr2,apartment,81,33,48
global,cut,pr2,isr,142,33,109
global,cut,pr2,kitchen,129,33,96
global,cut,rollin_justin,apartment,95,33,62
global,cut,rollin_justin,isr,130,33,97
global,cut,rollin_justin,kitchen,118,33,85
global,cut,stretch,apartment,85,33,52
global,cut,stretch,isr,127,33,94
global,cut,stretch,kitchen,116,33,83
global,cut,tiago,apartment,91,33,58
global,cut,tiago,isr,138,33,105
global,cut,tiago,kitchen,120,33,87
global,cut,unitree_g1,apartment,84,33,51
global,cut,unitree_g1,isr,130,33,97
global,cut,unitree_g1,kitchen,101,33,68
global,mix,armar7,apartment,174,33,141
global,mix,armar7,isr,109,33,76
global,mix,armar7,kitchen,79,33,46
global,mix,hsrb,apartment,146,33,113
global,mix,hsrb,isr,103,33,70
global,mix,hsrb,kitchen,112,33,79
global,mix,pr2,apartment,155,33,122
global,mix,pr2,isr,106,33,73
global,mix,pr2,kitchen,88,33,55
global,mix,rollin_justin,apartment,191,33,158
global,mix,rollin_justin,isr,127,33,94
global,mix,rollin_justin,kitchen,116,33,83
global,mix,stretch,apartment,147,33,114
global,mix,stretch,isr,100,33,67
global,mix,stretch,kitchen,109,33,76
global,mix,tiago,apartment,175,33,142
global,mix,tiago,isr,109,33,76
global,mix,tiago,kitchen,100,33,67
global,mix,unitree_g1,apartment,138,33,105
global,mix,unitree_g1,isr,111,33,78
global,mix,unitree_g1,kitchen,84,33,51
global,wipe,armar7,apartment,78,33,45
global,wipe,armar7,isr,120,33,87
global,wipe,armar7,kitchen,100,33,67
global,wipe,garmi,isr,60,33,27
global,wipe,hsrb,apartment,84,33,51
global,wipe,hsrb,isr,120,33,87
global,wipe,hsrb,kitchen,100,33,67
global,wipe,pr2,apartment,93,33,60
global,wipe,pr2,isr,120,33,87
global,wipe,pr2,kitchen,128,33,95
global,wipe,rollin_justin,apartment,80,33,47
global,wipe,rollin_justin,isr,125,33,92
global,wipe,rollin_justin,kitchen,116,33,83
global,wipe,stretch,apartment,80,33,47
global,wipe,stretch,isr,120,33,87
global,wipe,stretch,kitchen,100,33,67
global,wipe,tiago,apartment,120,33,87
global,wipe,tiago,isr,160,33,127
global,wipe,tiago,kitchen,130,33,97
global,wipe,unitree_g1,apartment,33,33,0
global,wipe,unitree_g1,isr,120,33,87
global,wipe,unitree_g1,kitchen,100,33,67
