action_name,normalized_world_name,bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,execution_time_s,failure_count,failure_reasons,bowl_name,knowledge_motion,knowledge_mixing_tool,target_name,spawn_pose_xyz
cut,apartment,bread_0006,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0006,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.856811,3.095831,0.966814,map,0.0,0.0,0.0,0.0,,,,2.856811,3.095831,0.966814,0.0,0.0,-0.861785,0.507274,0.0,-0.0,-2.077556,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.485347,-0.874322,0.0,-2.077556,saw,0.03,4,13,87.0649,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 800 ticks in CuttingAction (status=wiggle, max link displacement 0.01000m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=wiggle, max link displacement 0.00595m over 25 ticks).",,,,,
cut,apartment,bread_0007,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0007,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.179349,-0.068857,-0.040973,0.187667,0.067081,0.05007,0.367016,0.135937,0.091044,0.00454229,2.895211,1.636342,0.966814,map,0.0,0.0,0.0,0.0,,,,2.895211,1.636342,0.966814,0.0,0.0,0.479011,0.877809,0.0,-0.0,0.999055,-0.154349,-0.000888,-0.036421,0.068117,0.5,0.05,1.0,0.0,0.0,0.541097,0.84096,0.0,0.999055,saw,0.03,4,13,55.5872,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00309m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00317m over 25 ticks).",,,,,
cut,apartment,bread_0009,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0009,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.533125,2.984642,0.966814,map,0.0,0.0,0.0,0.0,,,,2.533125,2.984642,0.966814,0.0,0.0,0.198192,0.980163,0.0,-0.0,0.399026,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.92144,0.388521,0.0,0.399026,saw,0.03,4,13,54.593,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=wiggle, max link displacement 0.00344m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00268m over 25 ticks).",,,,,
cut,apartment,bread_0010,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0010,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.517499,1.702301,0.966814,map,0.0,0.0,0.0,0.0,,,,2.517499,1.702301,0.966814,0.0,0.0,-0.125995,0.992031,0.0,-0.0,-0.252661,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.968251,-0.249982,0.0,-0.252661,saw,0.03,4,13,47.2571,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=wiggle, max link displacement 0.00389m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=wiggle, max link displacement 0.00464m over 25 ticks).",,,,,
cut,apartment,bread_0017,bread_cutting,16e7c32d-3f37-491d-9824-2dd98ee99653,bread_0017,702921852,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,5.160958,4.500544,0.742643,map,0.0,0.0,0.0,0.0,,,,5.160958,4.500544,0.742643,0.0,0.0,-0.633454,0.77378,0.0,-0.0,-1.372018,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.197472,-0.980309,0.0,-1.372018,saw,0.03,4,13,86.3433,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 525 ticks in CuttingAction (status=wiggle, max link displacement 0.00553m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in CuttingAction (status=wiggle, max link displacement 0.00311m over 25 ticks).",,,,,
cut,apartment,bread_0001,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0001,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.179349,-0.068857,-0.040973,0.187667,0.067081,0.05007,0.367016,0.135937,0.091044,0.00454229,2.755256,3.854784,0.966814,map,0.0,0.0,0.0,0.0,,,,2.755256,3.854784,0.966814,0.0,0.0,-0.528817,0.848736,0.0,-0.0,-1.114411,-0.154349,-0.000888,-0.036421,0.068117,0.5,0.05,1.0,0.0,0.0,0.440706,-0.897651,0.0,-1.114411,saw,0.03,4,13,40.2537,0,,,,,,
cut,apartment,bread_0003,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0003,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.179349,-0.068857,-0.040973,0.187667,0.067081,0.05007,0.367016,0.135937,0.091044,0.00454229,2.887536,3.299543,0.966814,map,0.0,0.0,0.0,0.0,,,,2.887536,3.299543,0.966814,0.0,0.0,-0.72161,0.692299,0.0,-0.0,-1.612251,-0.154349,-0.000888,-0.036421,0.068117,0.5,0.05,1.0,0.0,0.0,-0.041443,-0.999141,0.0,-1.612251,saw,0.03,4,13,54.0754,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=wiggle, max link displacement 0.00259m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00705m over 25 ticks).",,,,,
cut,apartment,bread_0006,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0006,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.559721,3.067711,0.966814,map,0.0,0.0,0.0,0.0,,,,2.559721,3.067711,0.966814,0.0,0.0,-0.400436,0.916325,0.0,-0.0,-0.823984,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.679303,-0.733858,0.0,-0.823984,saw,0.03,4,13,89.5381,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 600 ticks in CuttingAction (status=wiggle, max link displacement 0.00247m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=wiggle, max link displacement 0.00658m over 25 ticks).",,,,,
cut,apartment,bread_0010,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0010,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.546513,2.123119,0.966814,map,0.0,0.0,0.0,0.0,,,,2.546513,2.123119,0.966814,0.0,0.0,0.929184,0.369617,0.0,-0.0,2.384398,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.726766,0.686885,0.0,2.384398,saw,0.03,4,13,81.5026,1,"RIGHT primary -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction. | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=stagnant, max link displacement 0.00159m over 25 ticks).",,,,,
cut,apartment,bread_0011,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0011,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.5016,2.737464,0.966814,map,0.0,0.0,0.0,0.0,,,,2.5016,2.737464,0.966814,0.0,0.0,0.962393,-0.271662,0.0,-0.0,-2.591354,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.8524,-0.52289,0.0,-2.591354,saw,0.03,4,13,73.4617,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=wiggle, max link displacement 0.00316m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=stagnant, max link displacement 0.00176m over 25 ticks).",,,,,
cut,apartment,bread_0012,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0012,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.511401,3.443214,0.966814,map,0.0,0.0,0.0,0.0,,,,2.511401,3.443214,0.966814,0.0,0.0,0.989719,0.143024,0.0,-0.0,2.854561,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.959088,0.283107,0.0,2.854561,saw,0.03,4,13,108.0851,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 650 ticks in CuttingAction (status=wiggle, max link displacement 0.00545m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 875 ticks in CuttingAction (status=wiggle, max link displacement 0.01201m over 25 ticks).",,,,,
cut,apartment,bread_0015,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0015,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,5.021754,3.908263,0.742643,map,0.0,0.0,0.0,0.0,,,,5.021754,3.908263,0.742643,0.0,0.0,0.921275,-0.388912,0.0,-0.0,-2.342692,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,-0.697495,-0.716589,0.0,-2.342692,saw,0.03,4,13,33.657,0,,,,,,
cut,apartment,bread_0017,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0017,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,4.864223,3.456288,0.742643,map,0.0,0.0,0.0,0.0,,,,4.864223,3.456288,0.742643,0.0,0.0,-0.583066,0.812425,0.0,-0.0,-1.244994,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.320069,-0.947394,0.0,-1.244994,saw,0.03,4,13,30.7248,0,,,,,,
cut,apartment,bread_0018,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0018,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,5.167151,3.454626,0.742643,map,0.0,0.0,0.0,0.0,,,,5.167151,3.454626,0.742643,0.0,0.0,0.60148,0.798888,0.0,-0.0,1.290704,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.276444,0.96103,0.0,1.290704,saw,0.03,4,13,33.7911,0,,,,,,
cut,apartment,bread_0019,bread_cutting,62b5ffa8-0d9c-4886-b4d9-d436f4943ada,bread_0019,1041860388,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,5.163954,4.576282,0.742643,map,0.0,0.0,0.0,0.0,,,,5.163954,4.576282,0.742643,0.0,0.0,0.997237,-0.074282,0.0,-0.0,-2.992891,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.988964,-0.148154,0.0,-2.992891,saw,0.03,4,13,28.7928,0,,,,,,
cut,apartment,bread_0002,bread_cutting,77ef99c6-1b28-44c3-8837-689ecbd25fc9,bread_0002,2986113688,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.663195,3.740338,0.966814,map,0.0,0.0,0.0,0.0,,,,2.663195,3.740338,0.966814,0.0,0.0,0.903323,0.428962,0.0,-0.0,2.254906,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.631983,0.774982,0.0,2.254906,saw,0.03,4,13,74.751,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 675 ticks in CuttingAction (status=wiggle, max link displacement 0.00630m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=wiggle, max link displacement 0.00265m over 25 ticks).",,,,,
cut,apartment,bread_0003,bread_cutting,77ef99c6-1b28-44c3-8837-689ecbd25fc9,bread_0003,2986113688,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.941575,3.038297,0.966814,map,0.0,0.0,0.0,0.0,,,,2.941575,3.038297,0.966814,0.0,0.0,0.650096,0.759852,0.0,-0.0,1.415423,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.154749,0.987954,0.0,1.415423,saw,0.03,4,13,62.7065,0,,,,,,
cut,apartment,bread_0006,bread_cutting,77ef99c6-1b28-44c3-8837-689ecbd25fc9,bread_0006,2986113688,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.910822,3.966556,0.966814,map,0.0,0.0,0.0,0.0,,,,2.910822,3.966556,0.966814,0.0,0.0,0.87646,0.481475,0.0,-0.0,2.136919,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.536364,0.843987,0.0,2.136919,saw,0.03,4,13,27.7484,0,,,,,,
cut,apartment,bread_0013,bread_cutting,77ef99c6-1b28-44c3-8837-689ecbd25fc9,bread_0013,2986113688,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,4.937839,3.501828,0.742643,map,0.0,0.0,0.0,0.0,,,,4.937839,3.501828,0.742643,0.0,0.0,0.949373,0.314151,0.0,-0.0,2.502469,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.802619,0.596492,0.0,2.502469,saw,0.03,4,13,33.823,0,,,,,,
cut,apartment,bread_0014,bread_cutting,77ef99c6-1b28-44c3-8837-689ecbd25fc9,bread_0014,2986113688,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,5.142636,4.025873,0.742643,map,0.0,0.0,0.0,0.0,,,,5.142636,4.025873,0.742643,0.0,0.0,0.954314,-0.298805,0.0,-0.0,-2.534712,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.821431,-0.570308,0.0,-2.534712,saw,0.03,4,13,26.7632,0,,,,,,
cut,apartment,bread_0017,bread_cutting,77ef99c6-1b28-44c3-8837-689ecbd25fc9,bread_0017,2986113688,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,armar7,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,4.829333,4.159899,0.742643,map,0.0,0.0,0.0,0.0,,,,4.829333,4.159899,0.742643,0.0,0.0,-0.078317,0.996929,0.0,-0.0,-0.156794,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.987733,-0.156153,0.0,-0.156794,saw,0.03,4,13,38.656,0,,,,,,
cut,apartment,bread_0002,bread_cutting,c1e6ebdc-75e3-4432-ac48-b063321e23c1,bread_0002,2936705046,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.69145,2.733468,0.966814,map,0.0,0.0,0.0,0.0,,,,2.69145,2.733468,0.966814,0.0,0.0,0.971107,-0.238643,0.0,-0.0,-2.659656,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.886099,-0.463496,0.0,-2.659656,saw,0.03,4,13,49.4862,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in CuttingAction (status=wiggle, max link displacement 0.00459m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=wiggle, max link displacement 0.00459m over 25 ticks).",,,,,
cut,apartment,bread_0004,bread_cutting,c1e6ebdc-75e3-4432-ac48-b063321e23c1,bread_0004,2936705046,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,armar7,failed,,knife_left,primary,2,0,1,True,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,2.638715,3.637382,0.966814,map,0.0,0.0,0.0,0.0,,,,2.638715,3.637382,0.966814,0.0,0.0,0.892366,0.451313,0.0,-0.0,2.205121,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.592633,0.805472,0.0,2.205121,saw,0.03,4,13,60.412,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in CuttingAction (status=wiggle, max link displacement 0.00358m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=wiggle, max link displacement 0.00485m over 25 ticks).",,,,,
