action_name,normalized_world_name,bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,execution_time_s,failure_count,failure_reasons,bowl_name,knowledge_motion,knowledge_mixing_tool,target_name,spawn_pose_xyz
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0025,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,0.616415,2.443723,0.605625,apartment/cabinet3_door_bottom_left,,,,,,,,0.616415,2.443723,0.605625,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,76.5093,0,,,,,wipe_target_0025,"[0.6164, 2.4437, 0.6056]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0026,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,2.265467,2.901492,0.821073,apartment/cabinet9_drawer_top,,,,,,,,2.265467,2.901492,0.821073,-0.001126,-0.707106,-0.001126,0.707106,,,,,,,,,,,,,,,,,wipe,,,3,77.1016,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00568m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01556m over 25 ticks).",,,,wipe_target_0026,"[2.2655, 2.9015, 0.8211]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0029,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-0.022638,1.616116,1.606351,apartment/cabinet1,,,,,,,,-0.022638,1.616116,1.606351,0.0,-0.707107,0.0,0.707107,,,,,,,,,,,,,,,,,wipe,,,3,41.3212,0,,,,,wipe_target_0029,"[-0.0226, 1.6161, 1.6064]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0033,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,0.61601,1.579862,0.777756,apartment/cabinet1_drawer_middle,,,,,,,,0.61601,1.579862,0.777756,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,94.4874,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 625 ticks in WipingAction (status=wiggle, max link displacement 0.01924m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 625 ticks in WipingAction (status=wiggle, max link displacement 0.02512m over 25 ticks).",,,,wipe_target_0033,"[0.616, 1.5799, 0.7778]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0034,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,0.618863,1.63281,0.367436,apartment/cabinet1_drawer_bottom,,,,,,,,0.618863,1.63281,0.367436,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,75.8104,0,,,,,wipe_target_0034,"[0.6189, 1.6328, 0.3674]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0035,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,-0.021112,1.935307,0.52918,apartment/cabinet2,,,,,,,,-0.021112,1.935307,0.52918,0.0,-0.707107,0.0,0.707107,,,,,,,,,,,,,,,,,wipe,,,3,77.3582,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00844m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00668m over 25 ticks).",,,,wipe_target_0035,"[-0.0211, 1.9353, 0.5292]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0036,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,armar7,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,0.618954,1.961226,1.563363,apartment/cabinet2_door_left,,,,,,,,0.618954,1.961226,1.563363,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,75.833,0,,,,,wipe_target_0036,"[0.619, 1.9612, 1.5634]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0039,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,retry_with_left_arm,right_arm_failed,False,,False,False,False,True,armar7,success,LEFT,sponge_left,fallback,1,0,0,True,True,False,,,,,,,,,,,,-0.020949,2.535343,1.354706,apartment/cabinet3,,,,,,,,-0.020949,2.535343,1.354706,0.0,-0.707107,0.0,0.707107,,,,,,,,,,,,,,,,,wipe,,,3,95.3655,0,,,,,wipe_target_0039,"[-0.0209, 2.5353, 1.3547]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0045,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,0.414804,2.995321,1.677111,apartment/cabinet4_door_bottom,,,,,,,,0.414804,2.995321,1.677111,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,81.745,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 550 ticks in WipingAction (status=wiggle, max link displacement 0.00834m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00535m over 25 ticks).",,,,wipe_target_0045,"[0.4148, 2.9953, 1.6771]"
wipe,apartment,,space_wiping,9e5db3db-3b76-4794-ae6f-b34e0ed4ebe1,wipe_target_0048,2885570106,map,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,armar7,failed,,sponge_left,failed,2,0,1,True,False,False,,,,,,,,,,,,0.617652,3.150023,0.605929,apartment/cabinet5_drawer_middle,,,,,,,,0.617652,3.150023,0.605929,0.707107,-0.000563,0.707107,0.000563,,,,,,,,,,,,,,,,,wipe,,,3,77.7926,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01120m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01285m over 25 ticks).",,,,wipe_target_0048,"[0.6177, 3.15, 0.6059]"
