event_id,turbine_id,anomaly_label,train_test,timestamp,description,collision_failure_count,object_size_x,object_size_z,object_yaw_rad,object_volume_aabb
tiago__bread_0001__910001,tiago,1,prediction,tiago__bread_0001__910001,perturbation_rotate_z_180deg,6,0.314585,0.078038,-1.347073,0.00286045
tiago__bread_0005__910001,tiago,1,prediction,tiago__bread_0005__910001,perturbation_rotate_z_180deg,6,0.314585,0.078038,-2.013788,0.00286045
tiago__bread_0006__910001,tiago,1,prediction,tiago__bread_0006__910001,perturbation_rotate_z_180deg,6,0.262154,0.065031,2.921282,0.00165535
tiago__bread_0007__910001,tiago,1,prediction,tiago__bread_0007__910001,perturbation_rotate_z_180deg,6,0.314585,0.078038,-0.434997,0.00286045
tiago__bread_0009__910001,tiago,0,prediction,tiago__bread_0009__910001,perturbation_rotate_z_90deg,2,0.262154,0.065031,-2.990442,0.00165535
tiago__bread_0010__910001,tiago,1,prediction,tiago__bread_0010__910001,perturbation_rotate_z_180deg,6,0.419447,0.10405,-1.683701,0.00678033
tiago__bread_0011__910001,tiago,1,prediction,tiago__bread_0011__910001,perturbation_rotate_z_180deg,6,0.367016,0.091044,-1.849202,0.00454229
tiago__bread_0014__910001,tiago,0,prediction,tiago__bread_0014__910001,perturbation_rotate_z_90deg,3,0.262154,0.065031,-0.563692,0.00165535
tiago__bread_0015__910001,tiago,1,prediction,tiago__bread_0015__910001,perturbation_rotate_z_180deg,6,0.262154,0.065031,0.343729,0.00165535
rollin_justin__bread_0001__910001,rollin_justin,0,prediction,rollin_justin__bread_0001__910001,perturbation_rotate_z_90deg,2,0.314585,0.078038,-2.91787,0.00286045
rollin_justin__bread_0007__910001,rollin_justin,1,prediction,rollin_justin__bread_0007__910001,perturbation_rotate_z_180deg,6,0.314585,0.078038,-0.434997,0.00286045
rollin_justin__bread_0010__910001,rollin_justin,1,prediction,rollin_justin__bread_0010__910001,perturbation_rotate_z_180deg,6,0.419447,0.10405,-1.683701,0.00678033
rollin_justin__bread_0012__910001,rollin_justin,0,prediction,rollin_justin__bread_0012__910001,perturbation_rotate_z_90deg,2,0.262154,0.065031,-1.84285,0.00165535
rollin_justin__bread_0015__910001,rollin_justin,1,prediction,rollin_justin__bread_0015__910001,perturbation_rotate_z_180deg,6,0.262154,0.065031,0.343729,0.00165535
stretch__bread_0001__910001,stretch,0,prediction,stretch__bread_0001__910001,perturbation_rotate_z_90deg,1,0.314585,0.078038,-2.91787,0.00286045
stretch__bread_0005__910001,stretch,1,prediction,stretch__bread_0005__910001,perturbation_rotate_z_180deg,3,0.314585,0.078038,-2.013788,0.00286045
stretch__bread_0006__910001,stretch,1,prediction,stretch__bread_0006__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,2.921282,0.00165535
stretch__bread_0007__910001,stretch,1,prediction,stretch__bread_0007__910001,perturbation_rotate_z_180deg,3,0.314585,0.078038,-0.434997,0.00286045
stretch__bread_0008__910001,stretch,1,prediction,stretch__bread_0008__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,-1.64115,0.00165535
stretch__bread_0009__910001,stretch,1,prediction,stretch__bread_0009__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,-1.419646,0.00165535
stretch__bread_0010__910001,stretch,1,prediction,stretch__bread_0010__910001,perturbation_rotate_z_180deg,3,0.419447,0.10405,-1.683701,0.00678033
stretch__bread_0011__910001,stretch,1,prediction,stretch__bread_0011__910001,perturbation_rotate_z_180deg,3,0.367016,0.091044,-1.849202,0.00454229
stretch__bread_0012__910001,stretch,1,prediction,stretch__bread_0012__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,-0.272054,0.00165535
stretch__bread_0014__910001,stretch,0,prediction,stretch__bread_0014__910001,perturbation_rotate_z_90deg,1,0.262154,0.065031,-0.563692,0.00165535
stretch__bread_0015__910001,stretch,1,prediction,stretch__bread_0015__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,0.343729,0.00165535
hsrb__bread_0001__910001,hsrb,1,prediction,hsrb__bread_0001__910001,perturbation_rotate_z_180deg,3,0.314585,0.078038,-1.347073,0.00286045
hsrb__bread_0002__910001,hsrb,1,prediction,hsrb__bread_0002__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,0.602146,0.00165535
hsrb__bread_0003__910001,hsrb,1,prediction,hsrb__bread_0003__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,1.80708,0.00165535
hsrb__bread_0004__910001,hsrb,1,prediction,hsrb__bread_0004__910001,perturbation_rotate_z_180deg,3,0.262154,0.065031,1.382604,0.00165535
hsrb__bread_0005__910001,hsrb,1,prediction,hsrb__bread_0005__910001,perturbation_rotate_z_180deg,3,0.314585,0.078038,-2.013788,0.00286045
