event_id,turbine_id,anomaly_label,description,total_snapshots,flagged_snapshots,primary_cause,observed_value,interventional_probability,recommended_lower_bound,recommended_upper_bound,recommended_target,recommended_region_probability
tiago__bread_0001__910001,tiago,1,perturbation_rotate_z_180deg,3,3,object_yaw_rad,-0.8237,0.054978,-3.1289,3.1385,0.0048,0.028632
tiago__bread_0005__910001,tiago,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,-0.6139,0.077748,-3.1289,3.1385,0.0048,0.028632
tiago__bread_0006__910001,tiago,1,perturbation_rotate_z_180deg,2,1,object_yaw_rad,2.9213,0.020018,-3.1289,3.1385,0.0048,0.028632
tiago__bread_0007__910001,tiago,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,-0.2347,0.069163,-3.1289,3.1385,0.0048,0.028632
tiago__bread_0010__910001,tiago,1,perturbation_rotate_z_180deg,1,1,object_yaw_rad,-1.6837,0.072227,-3.1289,3.1385,0.0048,0.028632
tiago__bread_0011__910001,tiago,1,perturbation_rotate_z_180deg,2,1,object_yaw_rad,-1.8492,0.041476,-3.1289,3.1385,0.0048,0.028632
tiago__bread_0014__910001,tiago,0,perturbation_rotate_z_90deg,1,1,object_yaw_rad,-0.5637,0.081551,-3.1289,3.1385,0.0048,0.028632
tiago__bread_0015__910001,tiago,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,0.1493,0.024991,-3.1289,3.1385,0.0048,0.028632
rollin_justin__bread_0007__910001,rollin_justin,1,perturbation_rotate_z_180deg,1,1,object_yaw_rad,-0.435,0.079137,-3.1289,3.1385,0.0048,0.028632
rollin_justin__bread_0010__910001,rollin_justin,1,perturbation_rotate_z_180deg,1,1,object_yaw_rad,-1.6837,0.072227,-3.1289,3.1385,0.0048,0.028632
rollin_justin__bread_0015__910001,rollin_justin,1,perturbation_rotate_z_180deg,2,1,object_yaw_rad,0.3437,0.058417,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0005__910001,stretch,1,perturbation_rotate_z_180deg,3,3,object_yaw_rad,-0.8299,0.054286,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0006__910001,stretch,1,perturbation_rotate_z_180deg,2,1,object_yaw_rad,2.9213,0.020018,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0007__910001,stretch,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,0.5507,0.060792,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0008__910001,stretch,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,-0.9209,0.05279,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0009__910001,stretch,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,-0.4219,0.078658,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0010__910001,stretch,1,perturbation_rotate_z_180deg,1,1,object_yaw_rad,-1.6837,0.072227,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0011__910001,stretch,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,-1.7397,0.061021,-3.1289,3.1385,0.0048,0.028632
stretch__bread_0012__910001,stretch,1,perturbation_rotate_z_180deg,2,2,object_yaw_rad,0.3952,0.06918,-3.1289,3.1385,0.0048,0.028632
