feature,mean_abs_contribution,coefficient
collision_failure_count,3.6942548095933065,-4.311675906197787
robot_stretch:x:collision_failure_count,1.8868409158767128,-2.8570174488511886
drive_omni:x:collision_failure_count,1.444413090964664,-1.6341775086367465
robot_hsrb:x:collision_failure_count,1.400854002530749,-2.149676746405064
motion_approach_completed,1.0254089771198076,3.1699745402232224
retry_count,0.8209544395127126,-0.9077159129657385
robot_stretch,0.6625265353224117,-0.9466636390131224
robot_unitree_g1:x:collision_failure_count,0.6285715943748655,-1.0738587221619686
drive_legged:x:collision_failure_count,0.6285715943748655,-1.0738587221619686
robot_tiago:x:collision_failure_count,0.6236977572563486,-1.0611626916463253
total_attempts,0.5733273690884962,-0.6391514450704123
robot_rollin_justin:x:collision_failure_count,0.47527123913667113,1.0169743036760361
drive_legged,0.4752073155875362,0.6790090097158658
robot_unitree_g1,0.4752073155875362,0.6790090097158658
is_differential_drive,0.38821600570623366,-0.42967638075761805
robot_stretch:x:object_size_x,0.3712406085248164,-0.538790795496738
robot_rollin_justin:x:motion_stopped_waypoint_fraction,0.36573487925318743,-0.6164650054776197
robot_tiago:x:object_volume_aabb,0.3650910772516432,-0.6148913406704295
motion_stopped_waypoint_fraction,0.32776130499778583,0.35310080229668883
robot_rollin_justin:x:object_volume_aabb,0.29973723623924625,-0.5048215158459337
robot_hsrb:x:object_size_x,0.28863498723783276,-0.41890318788136305
robot_hsrb:x:object_volume_aabb,0.2837826675042913,-0.4779506149378485
robot_stretch:x:object_volume_aabb,0.2832285192137505,0.477017310876117
robot_tiago,0.2743105296161776,0.39195381670214474
object_volume_aabb,0.26494452281152336,-0.3416344627939098
robot_unitree_g1:x:object_size_x,0.2526403917773577,0.3666633297505513
drive_legged:x:object_size_x,0.2526403917773577,0.3666633297505513
robot_hsrb,0.24419898552341682,-0.34892836430530594
env_kitchen,0.24216513224102992,-0.24330712767136378
robot_rollin_justin,0.2407318073361071,-0.34397422081834617
drive_omni:x:motion_stopped_waypoint_fraction,0.21858084551747126,0.23514272083327212
robot_pr2:x:collision_failure_count,0.20672460548472646,-0.4037976127231569
robot_hsrb:x:motion_stopped_waypoint_fraction,0.195007809779815,-0.37477335300181736
robot_rollin_justin:x:object_size_x,0.16951240385123006,-0.24601759834542264
drive_legged:x:object_volume_aabb,0.1590018325690752,-0.26779304148829014
robot_unitree_g1:x:object_volume_aabb,0.1590018325690752,-0.26779304148829014
robot_tiago:x:motion_stopped_waypoint_fraction,0.15898808037553552,0.2721699919889484
robot_pr2:x:object_volume_aabb,0.13276166745530316,0.22359899975031688
robot_unitree_g1:x:motion_stopped_waypoint_fraction,0.09851391030608209,-0.16847176725370086
drive_legged:x:motion_stopped_waypoint_fraction,0.09851391030608209,-0.16847176725370086
env_isr,0.09819212339137497,-0.09888627201103699
drive_omni:x:object_yaw_rad,0.09216069946013146,0.1347155883416201
drive_omni,0.0869913098813011,-0.08789279830997286
drive_omni:x:object_size_x,0.08235563755952967,0.08580457858722526
robot_rollin_justin:x:object_yaw_rad,0.08187791081021252,-0.22781201993302824
object_size_y,0.07699800160953893,-0.09220184765976855
object_size_x,0.07698877130518912,-0.09219108874960938
object_size_z,0.0769723014263839,-0.09217045062739328
object_yaw_rad,0.05860718003501131,0.06735283627078446
robot_tiago:x:object_yaw_rad,0.05850529698275344,0.16809060347692106
robot_pr2:x:object_yaw_rad,0.057462382961200924,-0.1585050508963392
robot_stretch:x:object_yaw_rad,0.05456803157357102,-0.15653394504324292
robot_stretch:x:motion_stopped_waypoint_fraction,0.05235014753158596,0.08761305078134883
robot_pr2,0.046038597007682175,-0.06578312483309338
drive_legged:x:object_yaw_rad,0.03784177348391953,-0.10229226570057989
robot_unitree_g1:x:object_yaw_rad,0.03784177348391953,-0.10229226570057989
drive_omni:x:object_volume_aabb,0.03377352683537637,-0.04550964834664158
robot_pr2:x:motion_stopped_waypoint_fraction,0.027669836064377444,0.04880531186298114
robot_pr2:x:object_size_x,0.026465913868302566,0.03841064382292025
robot_hsrb:x:object_yaw_rad,0.023366513591985463,-0.0696850303123966
robot_tiago:x:object_size_x,0.004265706703204643,0.006190927003131881
cut_normal_approach_perpendicular_score,0.0,0.0
cut_normal_approach_abs_angle_rad,0.0,0.0
cut_normal_approach_parallel_score,0.0,0.0
robot_rollin_justin:x:cut_normal_approach_perpendicular_score,0.0,0.0
robot_pr2:x:cut_normal_approach_perpendicular_score,0.0,0.0
robot_hsrb:x:cut_normal_approach_perpendicular_score,0.0,0.0
robot_stretch:x:cut_normal_approach_perpendicular_score,0.0,0.0
robot_tiago:x:cut_normal_approach_perpendicular_score,0.0,0.0
robot_unitree_g1:x:cut_normal_approach_perpendicular_score,0.0,0.0
drive_legged:x:cut_normal_approach_perpendicular_score,0.0,0.0
drive_omni:x:cut_normal_approach_perpendicular_score,0.0,0.0
