target_name,spawn_pose_xyz,environment_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons,wiping_phase_reached,wiping_stall_status
wipe_target_0001,"[2.473, 2.4971, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0001,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.473034,2.497113,0.951814,island_countertop,,,,,,,,2.473034,2.497113,0.951814,0.0,0.0,0.410595,0.911818,0.0,-0.0,0.846212,,,,,,,,,,,,,,1.516908,2.26094,0.0,0.0,0.0,0.23309,0.972455,0.0,-0.0,0.470509,,,,,,,,,wipe,,,3,True,67,46,0.696969696969697,2.525683470093992,2.4332079648515186,0.951814,0.7384089122005326,completed,12.4696,0,,True,
wipe_target_0002,"[2.4944, 3.6447, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0002,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.494381,3.644722,0.951814,island_countertop,,,,,,,,2.494381,3.644722,0.951814,0.0,0.0,-0.787094,0.616833,0.0,-0.0,-1.812168,,,,,,,,,,,,,,1.626133,4.111285,0.0,0.0,0.0,-0.009453,0.999955,0.0,-0.0,-0.018906,,,,,,,,,wipe,,,3,True,67,53,0.803030303030303,2.4643793948143364,3.5541621563141517,0.951814,0.9058459939422809,completed,23.5456,0,,True,
wipe_target_0003,"[2.8582, 3.0449, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0003,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.858174,3.044924,0.951814,island_countertop,,,,,,,,2.858174,3.044924,0.951814,0.0,0.0,-0.838923,0.54425,0.0,-0.0,-1.990604,,,,,,,,,,,,,,3.904946,2.778409,0.0,0.0,0.0,0.99998,-0.006341,0.0,-0.0,-3.128912,,,,,,,,,wipe,,,3,True,67,66,1.0,2.9229693772940086,3.144497930269945,0.951814,0.926154628375169,completed,28.0309,0,,True,
wipe_target_0004,"[2.9267, 1.9208, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0004,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.926735,1.920792,0.951814,island_countertop,,,,,,,,2.926735,1.920792,0.951814,0.0,0.0,0.876545,0.48132,0.0,-0.0,2.137273,,,,,,,,,,,,,,3.919968,1.585986,0.0,0.0,0.0,0.99964,-0.026819,0.0,-0.0,-3.087949,,,,,,,,,wipe,,,3,True,67,49,0.7424242424242424,2.9654589513017022,2.000036317078193,0.951814,0.9208664006292352,completed,26.8701,0,,True,
wipe_target_0005,"[2.4439, 3.8168, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0005,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.443866,3.816806,0.951814,island_countertop,,,,,,,,2.443866,3.816806,0.951814,0.0,0.0,-0.633266,0.773934,0.0,-0.0,-1.371533,,,,,,,,,,,,,,1.665901,4.48676,0.0,0.0,0.0,-0.141563,0.989929,0.0,-0.0,-0.28408,,,,,,,,,wipe,,,3,True,67,50,0.7575757575757576,2.3940832857075036,3.741828013014971,0.951814,0.9009500096604016,completed,33.2987,0,,True,
wipe_target_0006,"[2.661, 3.8051, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0006,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.660995,3.805135,0.951814,island_countertop,,,,,,,,2.660995,3.805135,0.951814,0.0,0.0,-0.646377,0.763018,0.0,-0.0,-1.405654,,,,,,,,,,,,,,1.583474,4.058788,0.0,0.0,0.0,0.145457,0.989365,0.0,-0.0,0.291949,,,,,,,,,wipe,,,3,True,67,50,0.7575757575757576,2.6086831808287667,3.731899305510135,0.951814,0.9575804010987723,completed,41.3487,0,,True,
wipe_target_0007,"[2.5331, 2.1684, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0007,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.533077,2.168433,0.951814,island_countertop,,,,,,,,2.533077,2.168433,0.951814,0.0,0.0,-0.173134,0.984898,0.0,-0.0,-0.348021,,,,,,,,,,,,,,1.492057,2.601263,0.0,0.0,0.0,-0.007472,0.999972,0.0,-0.0,-0.014944,,,,,,,,,wipe,,,3,True,67,47,0.7121212121212122,2.5105534379452425,2.0868863844357555,0.951814,0.9131910922795415,completed,34.8999,0,,True,
wipe_target_0008,"[2.4761, 2.8186, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0008,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,2.476076,2.818646,0.951814,island_countertop,,,,,,,,2.476076,2.818646,0.951814,0.0,0.0,0.838274,0.545249,0.0,-0.0,1.98822,,,,,,,,,,,,,,1.632729,3.133414,0.0,0.0,0.0,-0.098253,0.995161,0.0,-0.0,-0.196823,,,,,,,,,wipe,,,3,True,67,64,0.9696969696969697,2.4519611348263854,2.7059982752453884,0.951814,0.8866042476441753,completed,37.5684,0,,True,
wipe_target_0009,"[3.0213, 1.5541, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0009,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,garmi,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,3.021321,1.554097,0.951814,island_countertop,,,,,,,,3.021321,1.554097,0.951814,0.0,0.0,0.208203,0.978086,0.0,-0.0,0.419475,,,,,,,,,,,,,,3.704627,1.009109,0.0,0.0,0.0,0.992632,0.121168,0.0,-0.0,2.898659,,,,,,,,,wipe,,,3,True,67,57,0.8636363636363636,3.050401892772728,1.652488945175181,0.951814,0.8933208818645099,completed,34.6641,0,,True,
wipe_target_0010,"[2.8752, 3.2058, 0.9518]",apartment,space_wiping,4606d61b-dc08-470a-9df5-5e5f608e4a01,wipe_target_0010,910002,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,garmi,partial_wipe_stalled,,sponge_left,failed,2,1,2,True,False,False,,,,,,,,,,,,2.875192,3.205821,0.951814,island_countertop,,,,,,,,2.875192,3.205821,0.951814,0.0,0.0,-0.280588,0.959828,0.0,-0.0,-0.568814,,,,,,,,,,,,,,3.792155,3.241105,0.0,0.0,0.0,0.980103,0.198489,0.0,-0.0,2.741961,,,,,,,,,wipe,,,3,True,67,59,0.8939393939393939,2.9517023134373814,3.27947294615228,0.951814,0.7361583366565799,completed,114.2989,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00797m over 25 ticks, wiggle=True). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01151m over 25 ticks, wiggle=True).",True,wiggle
