bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,robot_base_before_action_x,robot_base_before_action_y,robot_base_before_action_z,robot_base_before_action_quat_x,robot_base_before_action_quat_y,robot_base_before_action_quat_z,robot_base_before_action_quat_w,robot_base_before_action_roll_rad,robot_base_before_action_pitch_rad,robot_base_before_action_yaw_rad,robot_base_before_action_reference_frame,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,execution_time_s,failure_count,failure_reasons
bread_0001,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0001,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,False,False,False,False,tiago,0.954687,0.888686,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",failed,,knife_left,primary,2,1,2,True,False,False,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,1.554687,0.888686,0.875,map,0.0,0.0,0.0,0.0,1.554687,0.888686,0.875,0.0,0.0,0.781621,0.623754,0.0,-0.0,1.794519,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,-0.221861,0.975078,0.0,1.794519,saw,0.03,4,13,26.3826,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=wiggle, max link displacement 0.00970m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 475 ticks in CuttingAction (status=stagnant, max link displacement 0.00160m over 25 ticks)."
bread_0002,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0002,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,ok,cut,primary_success,False,False,False,False,True,tiago,0.887967,0.280099,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",success,RIGHT,knife_right,primary,1,0,0,False,False,False,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.547967,0.280099,0.875,map,0.0,0.0,0.0,0.0,1.547967,0.280099,0.875,0.0,0.0,0.955019,-0.296545,0.0,-0.0,-2.539446,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.824122,-0.566413,0.0,-2.539446,saw,0.03,4,13,26.1061,0,
bread_0003,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0003,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,ok,cut,primary_success,False,False,False,False,True,tiago,0.842336,-0.373563,0.0,0.0,0.0,0.258819,0.965926,0.0,0.0,0.523599,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",success,RIGHT,knife_right,primary,1,0,0,False,False,False,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.622336,-0.373563,0.875,map,0.0,0.0,0.0,0.0,1.622336,-0.373563,0.875,0.0,0.0,-0.618833,0.785522,0.0,-0.0,-1.334513,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.234091,-0.972215,0.0,-1.334513,saw,0.03,4,13,27.8929,0,
bread_0004,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0004,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,ok,cut,primary_success,False,False,False,False,True,tiago,0.870074,-0.027803,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",success,RIGHT,knife_right,primary,1,0,0,False,False,False,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.590074,-0.027803,0.875,map,0.0,0.0,0.0,0.0,1.590074,-0.027803,0.875,0.0,0.0,-0.770417,0.637541,0.0,-0.0,-1.758989,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.187084,-0.982344,0.0,-1.758989,saw,0.03,4,13,31.7699,0,
bread_0005,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0005,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,False,False,False,False,tiago,0.852352,-0.438439,0.0,0.0,0.0,0.258819,0.965926,0.0,0.0,0.523599,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",failed,,knife_left,primary,2,1,2,True,False,False,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,1.512352,-0.438439,0.7075,map,0.0,0.0,0.0,0.0,1.512352,-0.438439,0.7075,0.0,0.0,0.534489,0.845176,0.0,-0.0,1.127805,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,0.428644,0.903474,0.0,1.127805,saw,0.03,4,13,42.5278,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=stagnant, max link displacement 0.00005m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=stagnant, max link displacement 0.00002m over 25 ticks)."
bread_0006,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0006,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,False,False,False,False,tiago,0.906514,2.040446,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",failed,,knife_left,primary,2,1,1,True,False,False,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.566514,2.040446,1.535,map,0.0,0.0,0.0,0.0,1.566514,2.040446,1.535,0.0,0.0,-0.109933,0.993939,0.0,-0.0,-0.220311,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.97583,-0.218533,0.0,-0.220311,saw,0.03,4,13,24.7778,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in CuttingAction (status=wiggle, max link displacement 0.02173m over 25 ticks). | LEFT primary -> KeyError: SX(HomogeneousTransformationMatrix_MoveTCPWaypointsAligned/root_T_goal_ref[0,0])"
bread_0007,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0007,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,False,False,False,False,tiago,0.901649,1.151984,0.0,0.0,0.0,0.358264,0.93362,0.0,0.0,0.732815,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",failed,,knife_left,primary,2,1,2,True,False,False,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,1.501649,1.691984,1.535,map,0.0,0.0,0.0,0.0,1.501649,1.691984,1.535,0.0,0.0,0.97644,0.215788,0.0,-0.0,2.706596,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,-0.906871,0.421407,0.0,2.706596,saw,0.03,4,13,97.6756,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 575 ticks in CuttingAction (status=stagnant, max link displacement 0.00062m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction."
bread_0008,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0008,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,ok,cut,primary_success,False,False,False,False,True,tiago,-1.748161,0.821527,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",success,RIGHT,knife_right,primary,1,0,0,False,False,False,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-1.148161,0.821527,0.877,map,0.0,0.0,0.0,0.0,-1.148161,0.821527,0.877,0.0,0.0,0.681801,0.731538,0.0,-0.0,1.500443,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.070295,0.997526,0.0,1.500443,saw,0.03,4,13,55.5037,0,
bread_0009,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0009,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,False,False,False,False,tiago,-1.791709,2.582611,0.0,0.0,0.0,-0.258819,0.965926,0.0,0.0,-0.523599,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",failed,,knife_left,primary,2,1,2,True,False,False,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-1.191709,2.582611,0.877,map,0.0,0.0,0.0,0.0,-1.191709,2.582611,0.877,0.0,0.0,0.758477,0.6517,0.0,-0.0,1.721947,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.150576,0.988599,0.0,1.721947,saw,0.03,4,13,65.9413,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 475 ticks in CuttingAction (status=stagnant, max link displacement 0.00026m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 575 ticks in CuttingAction (status=wiggle, max link displacement 0.00302m over 25 ticks)."
bread_0010,bread_cutting,d65f4f6f-3135-4b2d-bb90-f36d2bd9bedf,bread_0010,910001,kitchen,full_system,base_system,True,Knife,middle,1,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,False,False,False,False,tiago,-0.335852,1.343338,0.0,0.0,0.0,0.965926,-0.258819,0.0,-0.0,-2.617994,"Body(name=PrefixedName('None/map'), id=UUID('bb6f5745-ddc4-4ff2-ae65-1ef01c377867'), index=102)",failed,,knife_left,primary,2,1,2,True,False,False,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,-0.995852,1.343338,0.877,map,0.0,0.0,0.0,0.0,-0.995852,1.343338,0.877,0.0,0.0,0.666084,0.745877,0.0,-0.0,1.457891,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,0.112665,0.993633,0.0,1.457891,saw,0.03,4,13,47.826,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 275 ticks in CuttingAction (status=stagnant, max link displacement 0.00001m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00003m over 25 ticks)."
