bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons
bread_0001,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0001,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,1.538381,0.854639,0.9,map,0.0,0.0,0.0,0.0,,,,1.538381,0.854639,0.9,0.0,0.0,0.992868,0.11922,0.0,-0.0,2.902583,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,-0.971573,0.23674,0.0,2.902583,0.292193,1.434945,0.0,0.0,0.0,0.1871,0.982341,0.0,-0.0,0.376419,-0.435804,2.526165,-2.944798,2.526165,-2.944798,0.196795,0.980698,0.195527,saw,0.03,2,20,True,228.0,114.0,0.5022026431718062,1.4065657415429715,0.8875410635342303,0.9817111354870588,0.7579542019845641,completed,24.2393,0,
bread_0002,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0002,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,navigation_target_resolution_failed,skip_object,pickup_pose_unavailable,False,,False,False,False,False,garmi,failed,,knife_left,pickup_setup,0,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.557665,-0.118349,0.9,map,0.0,0.0,0.0,0.0,,,,1.557665,-0.118349,0.9,0.0,0.0,0.767759,0.640739,0.0,-0.0,1.750673,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.178908,0.983866,0.0,1.750673,0.292193,1.434945,0.0,0.0,0.0,0.1871,0.982341,0.0,-0.0,0.376419,-0.887155,1.374254,2.637828,1.374254,2.637828,0.503765,0.875771,0.482726,saw,0.03,2,20,False,,,,,,,,,7.2069,1,navigation setup -> RuntimeError: No collision-free navigation pose found for cutting bread_0002 after environment filtering.
bread_0003,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0003,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,navigation_target_resolution_failed,skip_object,pickup_pose_unavailable,False,,False,False,False,False,garmi,failed,,knife_left,pickup_setup,0,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,1.510352,0.410677,0.9,map,0.0,0.0,0.0,0.0,,,,1.510352,0.410677,0.9,0.0,0.0,0.125535,0.992089,0.0,-0.0,0.251734,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.968482,0.249083,0.0,0.251734,0.292193,1.434945,0.0,0.0,0.0,0.1871,0.982341,0.0,-0.0,0.376419,-0.699148,-0.124685,0.950881,-0.124685,0.950881,0.950881,0.580966,0.813928,saw,0.03,2,20,False,,,,,,,,,5.8181,1,navigation setup -> RuntimeError: No collision-free navigation pose found for cutting bread_0003 after environment filtering.
bread_0004,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0004,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-1.187213,2.039026,0.911,map,0.0,0.0,0.0,0.0,,,,-1.187213,2.039026,0.911,0.0,0.0,0.920434,-0.390899,0.0,-0.0,-2.338377,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.694396,-0.719593,0.0,-2.338377,-2.251221,2.31653,0.0,0.0,0.0,0.009526,0.999955,0.0,-0.0,0.019053,-0.255126,-2.357429,-2.08325,-2.357429,-2.08325,1.058342,0.490318,0.871544,saw,0.03,2,20,True,190.0,0.0,0.0,-1.1160725394218405,2.1136611456246888,0.9830224045030772,0.6889997635784352,completed,16.3734,0,
bread_0005,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0005,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-1.247185,0.500698,0.911,map,0.0,0.0,0.0,0.0,,,,-1.247185,0.500698,0.911,0.0,0.0,0.216105,0.97637,0.0,-0.0,0.435646,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.906597,0.421997,0.0,0.435646,-1.71646,-0.250054,0.0,0.0,0.0,0.515903,0.856647,0.0,-0.0,1.084122,1.012144,-0.648476,-0.576498,-0.648476,-0.576498,0.576498,0.838377,0.545091,saw,0.03,2,20,True,190.0,95.0,0.5026455026455027,-1.148054329099688,0.5461407664916247,0.9823918335552771,0.7464258025059634,completed,13.3569,0,
bread_0006,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0006,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.140917,-0.054102,-0.032193,0.147453,0.052706,0.039341,0.28837,0.106808,0.071534,0.00220328,-0.99068,1.081035,0.911,map,0.0,0.0,0.0,0.0,,,,-0.99068,1.081035,0.911,0.0,0.0,-0.595483,0.803368,0.0,-0.0,-1.275732,-0.115917,-0.000698,-0.028617,0.086694,0.5,0.05,1.0,0.0,0.0,0.290801,-0.956784,0.0,-1.275732,-0.167268,1.082231,0.0,0.0,0.0,0.992865,-0.11924,0.0,-0.0,-2.902543,-3.140141,1.626811,1.864408,1.626811,1.864408,1.277184,0.289412,0.957205,saw,0.03,2,20,True,209.0,0.0,0.0,-1.0250562128282104,1.191739759863815,0.988224644953385,0.6728908718640282,completed,36.1605,0,
bread_0007,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0007,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-0.988287,2.572095,0.911,map,0.0,0.0,0.0,0.0,,,,-0.988287,2.572095,0.911,0.0,0.0,0.917986,-0.396613,0.0,-0.0,-2.325944,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.685396,-0.72817,0.0,-2.325944,-0.086639,2.390048,0.0,0.0,0.0,0.974299,-0.22526,0.0,-0.0,-2.687173,2.942366,0.361229,1.014876,0.361229,1.014876,1.014876,0.527725,0.849415,saw,0.03,2,20,True,190.0,95.0,0.5026455026455027,-1.0634901859499917,2.4931245972818363,0.9823918335552771,0.7510688629412805,completed,42.3817,0,
bread_0008,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0008,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.140917,-0.054102,-0.032193,0.147453,0.052706,0.039341,0.28837,0.106808,0.071534,0.00220328,-1.106669,1.524906,0.911,map,0.0,0.0,0.0,0.0,,,,-1.106669,1.524906,0.911,0.0,0.0,0.999992,0.004105,0.0,-0.0,3.133382,-0.115917,-0.000698,-0.028617,0.086694,0.5,0.05,1.0,0.0,0.0,-0.999966,0.00821,0.0,3.133382,-2.234048,2.162656,0.0,0.0,0.0,0.16369,0.986512,0.0,-0.0,0.328859,-0.514811,2.804523,-2.634992,2.804523,-2.634992,0.506601,0.874399,0.485208,saw,0.03,2,20,True,209.0,0.0,0.0,-0.9907499757488676,1.5246516957959446,0.988224644953385,0.6730435984951563,completed,25.8805,0,
bread_0009,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0009,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-0.952877,0.618086,0.911,map,0.0,0.0,0.0,0.0,,,,-0.952877,0.618086,0.911,0.0,0.0,0.554637,0.832093,0.0,-0.0,1.175853,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,0.384756,0.923018,0.0,1.175853,-0.486873,-0.176704,0.0,0.0,0.0,0.880849,0.473397,0.0,-0.0,2.155307,2.101099,-0.979454,-0.925246,-0.979454,-0.925246,0.925246,0.601638,0.798769,saw,0.03,2,20,True,190.0,95.0,0.5026455026455027,-0.910334468830158,0.7184956340304576,0.9823918335552771,0.831912596063758,completed,23.372,0,
bread_0010,bread_cutting,86ff7399-149b-4c0b-b901-5ac4ab0afc1e,bread_0010,910002,kitchen,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,garmi,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,-0.927221,2.249458,0.911,map,0.0,0.0,0.0,0.0,,,,-0.927221,2.249458,0.911,0.0,0.0,0.792789,0.609496,0.0,-0.0,1.830742,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.257028,0.966404,0.0,1.830742,0.028579,1.924826,0.0,0.0,0.0,0.995604,0.093659,0.0,-0.0,2.954,2.814173,-1.123258,-0.983431,-1.123258,-0.983431,0.983431,0.55417,0.832403,saw,0.03,2,20,True,190.0,95.0,0.5026455026455027,-0.9546363850246972,2.355005716596335,0.9823918335552771,0.8061300897915311,completed,23.9402,0,
