target_name,spawn_pose_xyz,environment_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons,wiping_phase_reached,wiping_stall_status
wipe_target_0001,"[2.8842, 3.8808, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0001,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,hsrb,success,LEFT,sponge_left,primary,1,0,0,False,False,False,,,,,,,,,,,,2.884205,3.880811,0.951814,island_countertop,,,,,,,,2.884205,3.880811,0.951814,0.0,0.0,0.989857,0.142066,0.0,-0.0,2.856497,,,,,,,,,,,,,,3.413201,3.955126,0.0,0.0,0.0,0.999951,-0.009925,0.0,-0.0,-3.121742,,,,,,,,,wipe,,,3,True,67.0,65.0,0.9848484848484848,2.975343418544473,3.807442577471965,0.951814,0.4368434186126356,completed,5.0111,0,,True,
wipe_target_0002,"[2.8954, 1.2586, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0002,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_stagnant_after_phase_reached,task_failed,partial_wipe_stagnant_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.8954,1.258636,0.951814,island_countertop,,,,,,,,2.8954,1.258636,0.951814,0.0,0.0,0.285144,0.958485,0.0,-0.0,0.578313,,,,,,,,,,,,,,3.171323,0.939902,0.0,0.0,0.0,0.881124,0.472885,0.0,-0.0,2.156469,,,,,,,,,wipe,,,3,True,67.0,44.0,0.6666666666666666,2.891440936861544,1.179535018986009,0.951814,0.5422309433523216,completed,4.7664,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 475 ticks in WipingAction (status=stagnant, max link displacement 0.00011m over 25 ticks, wiggle=False).",True,stagnant
wipe_target_0003,"[2.9487, 2.4305, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0003,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.948655,2.430526,0.951814,island_countertop,,,,,,,,2.948655,2.430526,0.951814,0.0,0.0,0.081529,0.996671,0.0,-0.0,0.16324,,,,,,,,,,,,,,3.411423,2.555599,0.0,0.0,0.0,0.999981,-0.006222,0.0,-0.0,-3.129149,,,,,,,,,wipe,,,3,True,67.0,52.0,0.7878787878787878,3.041191380467434,2.416453240197688,0.951814,0.6597262047800782,completed,7.2291,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00370m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0004,"[2.815, 4.11, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0004,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.814967,4.109951,0.951814,island_countertop,,,,,,,,2.814967,4.109951,0.951814,0.0,0.0,0.936502,-0.350662,0.0,-0.0,-2.425036,,,,,,,,,,,,,,2.772775,4.585771,0.0,0.0,0.0,-0.75563,0.654999,0.0,-0.0,-1.713229,,,,,,,,,wipe,,,3,True,67.0,44.0,0.6666666666666666,2.807987288375766,4.18884320904571,0.951814,0.5784966528847341,completed,8.6063,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00337m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0005,"[2.8079, 3.6427, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0005,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.807941,3.64268,0.951814,island_countertop,,,,,,,,2.807941,3.64268,0.951814,0.0,0.0,0.522166,0.852844,0.0,-0.0,1.098778,,,,,,,,,,,,,,3.415992,3.722465,0.0,0.0,0.0,0.999998,-0.001771,0.0,-0.0,-3.138051,,,,,,,,,wipe,,,3,True,67.0,49.0,0.7424242424242424,2.89587487354269,3.649531685286069,0.951814,0.758688731401065,completed,10.1747,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00205m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0006,"[3.0246, 1.9563, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0006,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,hsrb,success,LEFT,sponge_left,primary,1,0,0,False,False,False,,,,,,,,,,,,3.024573,1.95634,0.951814,island_countertop,,,,,,,,3.024573,1.95634,0.951814,0.0,0.0,0.942464,0.334309,0.0,-0.0,2.459849,,,,,,,,,,,,,,3.581091,1.951002,0.0,0.0,0.0,0.999843,-0.017704,0.0,-0.0,-3.106183,,,,,,,,,wipe,,,3,True,67.0,66.0,1.0,3.103971411143301,1.867969425783063,0.951814,0.5792852795937746,completed,9.0724,0,,True,
wipe_target_0007,"[2.8001, 3.4546, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0007,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.800123,3.45458,0.951814,island_countertop,,,,,,,,2.800123,3.45458,0.951814,0.0,0.0,0.870013,0.49303,0.0,-0.0,2.110455,,,,,,,,,,,,,,3.414969,3.53208,0.0,0.0,0.0,0.999992,-0.004032,0.0,-0.0,-3.133529,,,,,,,,,wipe,,,3,True,67.0,45.0,0.6818181818181818,2.880250317912167,3.466441022005453,0.951814,0.7819061833341879,completed,11.0483,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00202m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0008,"[2.623, 2.063, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0008,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_stagnant_after_phase_reached,task_failed,partial_wipe_stagnant_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.623016,2.062994,0.951814,island_countertop,,,,,,,,2.623016,2.062994,0.951814,0.0,0.0,0.96757,-0.252602,0.0,-0.0,-2.630855,,,,,,,,,,,,,,1.974385,2.034907,0.0,0.0,0.0,-0.055616,0.998452,0.0,-0.0,-0.11129,,,,,,,,,wipe,,,3,True,67.0,52.0,0.7878787878787878,2.5312191114338787,2.044712589711439,0.951814,0.699796801276121,completed,9.4687,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in WipingAction (status=stagnant, max link displacement 0.00017m over 25 ticks, wiggle=False).",True,stagnant
wipe_target_0009,"[2.5916, 1.8235, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0009,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.591562,1.823479,0.951814,island_countertop,,,,,,,,2.591562,1.823479,0.951814,0.0,0.0,-0.497962,0.867199,0.0,-0.0,-1.042495,,,,,,,,,,,,,,1.974712,1.810394,0.0,0.0,0.0,-0.06728,0.997734,0.0,-0.0,-0.134662,,,,,,,,,wipe,,,3,True,67.0,45.0,0.6818181818181818,2.511305757719606,1.812529146604266,0.951814,0.6952716035614851,completed,10.7585,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00368m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0010,"[2.7791, 2.9134, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0010,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.779057,2.913434,0.951814,island_countertop,,,,,,,,2.779057,2.913434,0.951814,0.0,0.0,-0.038362,0.999264,0.0,-0.0,-0.076742,,,,,,,,,,,,,,3.41166,3.004286,0.0,0.0,0.0,0.99997,-0.00771,0.0,-0.0,-3.126173,,,,,,,,,wipe,,,3,True,67.0,54.0,0.8181818181818182,2.8759437907875665,2.9212345963299065,0.951814,0.7807198192574741,completed,11.3111,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00340m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0011,"[2.8214, 3.1602, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0011,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.821368,3.160166,0.951814,island_countertop,,,,,,,,2.821368,3.160166,0.951814,0.0,0.0,0.685674,0.727909,0.0,-0.0,1.511058,,,,,,,,,,,,,,3.412086,3.247509,0.0,0.0,0.0,0.999912,-0.013299,0.0,-0.0,-3.114993,,,,,,,,,wipe,,,3,True,67.0,48.0,0.7272727272727273,2.9049866261450026,3.181911431298743,0.951814,0.7489972179139769,completed,11.6798,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00207m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0012,"[2.566, 1.6935, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0012,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,hsrb,success,LEFT,sponge_left,primary,1,0,0,False,False,False,,,,,,,,,,,,2.566023,1.693469,0.951814,island_countertop,,,,,,,,2.566023,1.693469,0.951814,0.0,0.0,-0.16125,0.986914,0.0,-0.0,-0.323915,,,,,,,,,,,,,,1.974158,1.686253,0.0,0.0,0.0,-0.066768,0.997769,0.0,-0.0,-0.133636,,,,,,,,,wipe,,,3,True,67.0,66.0,1.0,2.460702228397084,1.7484332227532633,0.951814,0.6462903977179106,completed,10.8278,0,,True,
wipe_target_0013,"[2.826, 2.3788, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0013,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.825972,2.378833,0.951814,island_countertop,,,,,,,,2.825972,2.378833,0.951814,0.0,0.0,0.891248,-0.453516,0.0,-0.0,-2.200179,,,,,,,,,,,,,,3.411898,2.444664,0.0,0.0,0.0,0.999975,-0.007116,0.0,-0.0,-3.12736,,,,,,,,,wipe,,,3,True,67.0,63.0,0.9545454545454546,2.9390319062217234,2.387610122870312,0.951814,0.7238086337330963,completed,10.5548,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00340m over 25 ticks, wiggle=True).",True,wiggle
wipe_target_0014,"[2.479, 1.935, 0.9518]",apartment,space_wiping,6f6a1569-b431-4a2b-9819-30e121d1f580,wipe_target_0014,910001,apartment,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,wiping_motion_wiggle_after_phase_reached,task_failed,partial_wipe_wiggle_stalled,False,,False,False,False,False,hsrb,partial_wipe_stalled,,sponge_left,failed,1,0,1,False,False,False,,,,,,,,,,,,2.479047,1.93498,0.951814,island_countertop,,,,,,,,2.479047,1.93498,0.951814,0.0,0.0,0.962226,-0.272251,0.0,-0.0,-2.59013,,,,,,,,,,,,,,1.975108,1.923652,0.0,0.0,0.0,-0.071929,0.99741,0.0,-0.0,-0.143983,,,,,,,,,wipe,,,3,True,67.0,51.0,0.7727272727272727,2.3872466456122003,1.93482513624561,0.951814,0.592698159481064,completed,10.6658,1,"LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00367m over 25 ticks, wiggle=True).",True,wiggle
