bowl_name,knowledge_motion,knowledge_mixing_tool,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,execution_time_s,failure_count,failure_reasons
bowl_0001,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0001,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,collision_or_motion_failure,task_failed,all_mix_attempts_failed,False,,False,False,False,False,pr2,failed,,whisk_left,primary,2,1,2,True,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,-2.882779,-2.516473,0.45,map,0.0,0.0,0.0,0.0,,,,-2.882779,-2.516473,0.45,0.0,0.0,-0.829126,0.559062,0.0,-0.0,-1.955085,,,,,,,,,,,,,,Whisking,,,0,22.996,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00668m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00949m over 25 ticks)."
bowl_0002,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0002,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,retry_with_left_arm,right_arm_failed,False,,False,False,False,True,pr2,success,LEFT,whisk_left,primary,2,1,1,True,True,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,2.462136,-2.332151,0.85,map,0.0,0.0,0.0,0.0,,,,2.462136,-2.332151,0.85,0.0,0.0,0.73195,0.681358,0.0,-0.0,1.64236,,,,,,,,,,,,,,Whisking,,,0,25.5342,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=stagnant, max link displacement 0.00124m over 25 ticks)."
bowl_0003,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0003,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,collision_or_motion_failure,task_failed,all_mix_attempts_failed,False,,False,False,False,False,pr2,failed,,whisk_left,primary,2,1,2,True,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.132245,-2.521842,0.85,map,0.0,0.0,0.0,0.0,,,,2.132245,-2.521842,0.85,0.0,0.0,0.300751,0.953703,0.0,-0.0,0.61096,,,,,,,,,,,,,,Whisking,,,0,53.9926,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=stagnant, max link displacement 0.00121m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00832m over 25 ticks)."
bowl_0004,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0004,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,1.35557,-2.131453,0.85,map,0.0,0.0,0.0,0.0,,,,1.35557,-2.131453,0.85,0.0,0.0,0.359312,0.933217,0.0,-0.0,0.735062,,,,,,,,,,,,,,Whisking,,,0,9.4235,0,
bowl_0005,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0005,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,1.879342,-2.352159,0.85,map,0.0,0.0,0.0,0.0,,,,1.879342,-2.352159,0.85,0.0,0.0,0.998671,-0.051545,0.0,-0.0,-3.038456,,,,,,,,,,,,,,Whisking,,,0,11.236,0,
bowl_0006,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0006,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.097287,-0.100505,-0.045459,0.098234,0.094087,0.048516,0.195521,0.194592,0.093975,0.00357548,1.627889,-2.437038,0.85,map,0.0,0.0,0.0,0.0,,,,1.627889,-2.437038,0.85,0.0,0.0,0.473357,0.880871,0.0,-0.0,0.986195,,,,,,,,,,,,,,Whisking,,,0,14.6829,0,
bowl_0007,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0007,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,1.652704,-2.106783,0.85,map,0.0,0.0,0.0,0.0,,,,1.652704,-2.106783,0.85,0.0,0.0,0.998758,0.049825,0.0,-0.0,3.041902,,,,,,,,,,,,,,Whisking,,,0,13.7672,0,
bowl_0008,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0008,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,collision_or_motion_failure,task_failed,all_mix_attempts_failed,False,,False,False,False,False,pr2,failed,,whisk_left,primary,2,1,2,True,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,2.114679,-2.19983,0.85,map,0.0,0.0,0.0,0.0,,,,2.114679,-2.19983,0.85,0.0,0.0,0.99578,0.091773,0.0,-0.0,2.957787,,,,,,,,,,,,,,Whisking,,,0,51.2434,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.00316m over 25 ticks). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in MixingAction (status=stagnant, max link displacement 0.00088m over 25 ticks)."
bowl_0009,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0009,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,retry_with_left_arm,right_arm_failed,False,,False,False,False,True,pr2,success,LEFT,whisk_left,primary,2,1,1,True,True,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,2.576548,-2.091044,0.85,map,0.0,0.0,0.0,0.0,,,,2.576548,-2.091044,0.85,0.0,0.0,-0.726054,0.687638,0.0,-0.0,-1.625131,,,,,,,,,,,,,,Whisking,,,0,25.5932,1,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in MixingAction (status=wiggle, max link displacement 0.02502m over 25 ticks)."
bowl_0010,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,2eec14cb-3834-4cdf-a08a-c4f9ec080aea,bowl_0010,2895881461,isr,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,pr2,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,1.340698,-2.551675,0.85,map,0.0,0.0,0.0,0.0,,,,1.340698,-2.551675,0.85,0.0,0.0,0.878538,-0.477672,0.0,-0.0,-2.145587,,,,,,,,,,,,,,Whisking,,,0,11.1527,0,
